,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
201,康和新竹,2.25,0.0,2.25,107.0,,合庫自強,5.0,9.3,-4.3,107.2,107.05
202,華南世貿,8.21,6.0,2.21,107.07,107.42,台新台南,7.01,11.2,-4.19,107.5,107.0
203,元大承德,6.15,4.0,2.15,107.0,106.88,玉山士林,5.03,9.1,-4.07,107.0,107.34
204,元大沙鹿,7.15,5.0,2.15,107.35,107.0,凱基桃園,9.95,14.01,-4.06,107.43,107.0
205,群益宜蘭,4.14,2.0,2.14,107.12,107.0,凱基中壢,3.1,7.15,-4.06,106.84,107.28
206,兆豐大同,2.1,0.0,2.1,107.26,,永豐永康,11.01,15.06,-4.05,107.45,107.73
207,凱基興隆,3.3,1.2,2.1,107.33,107.5,永豐竹北,16.15,20.2,-4.05,107.16,107.02
208,國票中和,10.1,8.0,2.1,107.35,107.12,中信託文,13.2,17.23,-4.03,107.0,107.0
209,永豐板新,5.1,3.0,2.1,107.3,107.83,元大基孝,6.12,10.13,-4.01,107.24,107.64
210,元大西螺,6.04,4.0,2.04,107.0,107.75,群益土城,0.01,4.02,-4.01,106.58,107.25
211,國票博愛,4.0,2.0,2.0,107.5,107.25,富邦敦南,15.0,19.0,-4.0,107.13,107.08
212,中銀台北,3.0,1.0,2.0,108.0,107.0,永豐信義,0.0,4.0,-4.0,,107.25
213,凱基三峽,2.0,0.0,2.0,107.5,,安泰大發,2.0,6.0,-4.0,107.0,107.5
214,企銀北高,2.0,0.0,2.0,107.0,,永豐新竹,15.0,19.0,-4.0,107.7,107.42
215,華南大安,5.0,3.0,2.0,107.9,107.0,凱基竹北,7.0,11.0,-4.0,107.79,106.73
216,聯邦三重,2.0,0.0,2.0,107.5,,兆豐東門,1.0,5.0,-4.0,107.5,107.2
217,第一稻埕,5.0,3.0,2.0,107.4,107.33,亞東台南,25.0,29.0,-4.0,107.2,107.43
218,日盛台南,3.0,1.0,2.0,107.33,107.0,元大鳳山,7.0,11.0,-4.0,107.36,107.23
219,永興水湳,3.0,1.0,2.0,107.17,107.0,元大松山,1.0,5.0,-4.0,108.0,108.0
220,凱基民權,2.0,0.0,2.0,107.5,,企銀桃園,0.0,4.0,-4.0,,107.25
221,元富吉利,3.0,1.0,2.0,107.17,107.0,致和府前,0.0,4.0,-4.0,,107.0
222,群益基隆,3.0,1.0,2.0,107.33,107.5,凱基天母,0.0,4.0,-4.0,,107.0
223,群益桃園,3.0,1.0,2.0,107.17,107.0,元大仁愛,1.0,5.0,-4.0,107.0,107.7
224,元富新竹,3.0,1.0,2.0,108.0,107.0,兆豐桃鶯,1.2,5.2,-4.0,107.46,107.96
225,寶盛,2.0,0.0,2.0,107.25,,康和台南,4.0,8.0,-4.0,107.12,107.38
226,統一板橋,3.0,1.0,2.0,107.33,107.0,元大新營,0.01,4.0,-3.99,107.0,107.12
227,土銀白河,2.0,0.0,2.0,107.0,,日盛屏東,1.01,5.0,-3.99,107.99,107.35
228,康和延平,2.0,0.0,2.0,107.0,,玉山左營,6.02,10.0,-3.98,107.17,107.2
229,元富中原,2.05,0.08,1.97,107.0,107.5,元大新盛,16.03,20.0,-3.97,107.72,107.4
230,台新三民,33.04,31.1,1.94,107.05,107.16,統一城中,0.05,4.0,-3.95,107.0,107.12
231,美好泰山,2.0,0.1,1.9,107.0,107.5,華南頭份,0.05,4.0,-3.95,107.5,107.38
232,元大高雄,9.0,7.12,1.88,107.22,107.15,永豐中盛,4.12,8.0,-3.88,107.24,107.06
233,統一土城,2.1,0.35,1.75,107.0,107.5,元富中壢,6.12,10.01,-3.88,107.83,107.0
234,元富高雄,2.01,0.35,1.66,107.0,107.03,富邦南屯,2.12,6.0,-3.88,107.47,106.92
235,國票南崁,1.6,0.0,1.6,107.31,,元大福營,0.24,4.0,-3.76,107.0,107.38
236,凱基信義,1.5,0.05,1.45,107.5,107.0,合　　庫,9.4,13.11,-3.71,107.96,107.0
237,元富基隆,3.22,1.82,1.4,107.0,106.78,元大永和,10.03,13.7,-3.67,107.3,107.51
238,兆豐中壢,2.4,1.0,1.4,107.83,107.0,富邦桃園,6.5,10.15,-3.65,107.0,107.0
239,安泰,4.39,3.0,1.39,107.04,107.33,元大永寧,4.6,8.04,-3.45,107.11,107.19
240,美好蘆洲,8.3,7.0,1.3,107.01,107.0,元大崇德,3.0,6.34,-3.34,107.67,107.38
241,第一路竹,2.28,1.0,1.27,107.66,107.0,元大站前,2.2,5.46,-3.26,107.93,107.28
242,元大府城,3.32,2.05,1.26,107.75,107.0,永豐板盛,2.75,6.0,-3.25,107.14,107.0
243,群益高雄,6.25,5.0,1.25,107.88,107.1,凱基東門,0.0,3.2,-3.2,,107.02
244,永豐大園,11.25,10.0,1.25,107.05,107.0,光和,5.0,8.15,-3.15,107.3,107.12
245,元大六合,259.22,258.0,1.22,107.03,107.17,元大向上,0.05,3.2,-3.15,107.0,107.16
246,凱基員林,1.2,0.0,1.2,107.08,,群益,1.02,4.07,-3.05,107.0,107.13
247,陽信石牌,3.2,2.0,1.2,107.03,107.5,第一澎湖,2.0,5.01,-3.01,107.0,107.1
248,元富世貿,4.2,3.0,1.2,107.26,107.0,日盛中山,0.0,3.0,-3.0,,107.33
249,元大木柵,1.2,0.02,1.18,107.42,107.5,日盛中壢,0.0,3.0,-3.0,,107.17
250,元大南京,8.15,7.0,1.15,107.12,107.07,光和嘉義,2.0,5.0,-3.0,108.0,107.5
251,兆豐民生,1.14,0.0,1.14,107.06,,日盛內湖,0.0,3.0,-3.0,,107.17
252,永豐新莊,5.0,3.88,1.12,107.2,107.11,統一屏東,11.0,14.0,-3.0,107.32,107.64
253,元大龍潭,9.13,8.02,1.11,107.77,107.06,永興,0.0,3.0,-3.0,,107.0
254,凱基敦北,1.1,0.0,1.1,107.05,,永豐市政,11.0,14.0,-3.0,108.36,107.07
255,華南新莊,1.1,0.0,1.1,106.55,,華南中正,19.0,22.0,-3.0,107.05,107.02
256,元大文心,13.1,12.0,1.1,107.84,107.21,元大東蘆,12.0,15.0,-3.0,107.17,107.37
257,富邦苗栗,26.13,25.04,1.09,107.13,107.18,元大苑裡,5.0,8.0,-3.0,107.4,107.12
258,元大景美,2.08,1.0,1.08,107.0,107.5,元富成功,5.01,8.0,-2.99,107.0,107.0
259,兆豐公益,8.02,7.0,1.02,107.31,107.07,凱基竹科,1.32,4.3,-2.98,107.75,107.71
260,凱基五股,1.12,0.1,1.02,107.45,107.0,第一員林,2.03,5.0,-2.97,107.49,107.3
261,富邦宜蘭,6.11,5.1,1.01,106.99,107.01,凱基士林,0.05,3.0,-2.95,107.0,107.33
262,華南忠孝,1.01,0.0,1.01,107.5,,元大博愛,12.13,15.06,-2.93,107.16,107.33
263,元大台南,9.0,8.0,1.0,107.5,107.38,元大新竹,21.15,24.08,-2.93,107.9,107.06
264,元富西松,4.0,3.0,1.0,107.75,106.83,安泰楠梓,0.1,3.0,-2.9,107.0,107.17
265,群益瑞豐,7.0,6.0,1.0,107.0,107.33,宏遠台中,0.1,3.0,-2.9,107.25,107.33
266,群益新店,2.0,1.0,1.0,107.0,107.0,元大大益,2.2,5.1,-2.9,107.0,106.9
267,第一嘉義,2.0,1.0,1.0,107.5,108.0,統一士林,0.2,3.05,-2.85,107.5,107.16
268,聯邦,1.0,0.0,1.0,106.5,,元大莒光,1.0,3.8,-2.8,107.5,107.11
269,致和高雄,1.0,0.0,1.0,107.0,,北城,5.2,8.0,-2.8,107.0,107.0
270,第一新竹,4.0,3.0,1.0,107.25,106.83,第一光復,0.22,3.0,-2.78,107.45,107.17
271,群益中港,11.0,10.0,1.0,107.95,107.5,元大板橋,0.97,3.64,-2.68,107.21,107.29
272,統一嘉義,3.0,2.0,1.0,107.17,107.0,企銀豐原,0.0,2.65,-2.65,,106.62
273,元大民雄,1.0,0.0,1.0,107.0,,元大永康,2.39,5.01,-2.62,107.42,107.9
274,元大華山,2.0,1.0,1.0,107.0,107.0,群益西松,4.0,6.5,-2.5,107.12,107.08
275,元大東泰,7.1,6.1,1.0,107.28,107.41,元大林森,3.61,6.04,-2.43,107.35,107.42
276,統一永和,1.0,0.0,1.0,107.5,,富邦台南,2.1,4.4,-2.3,107.02,107.47
277,統一員林,1.0,0.0,1.0,107.0,,群益開元,2.0,4.28,-2.27,107.0,107.23
278,統一高雄,1.0,0.0,1.0,107.0,,元大中山,3.1,5.3,-2.2,107.65,107.31
279,國票中港,1.0,0.0,1.0,106.5,,玉山桃園,9.0,11.2,-2.2,107.17,107.05
280,致和東門,1.0,0.0,1.0,107.0,,群益彰化,1.0,3.1,-2.1,107.0,107.0
281,凱基鳳山,3.0,2.0,1.0,107.17,108.0,兆豐鹿港,20.0,22.1,-2.1,107.22,107.16
282,凱基南崁,2.0,1.0,1.0,107.0,108.0,兆豐北高,9.0,11.1,-2.1,107.0,107.27
283,元大豐原,11.0,10.0,1.0,107.27,107.05,元富桃園,2.0,4.1,-2.1,107.0,107.01
284,康和復興,2.0,1.0,1.0,107.0,107.5,富邦永和,6.02,8.1,-2.08,107.25,107.06
285,凱基嘉義,4.0,3.0,1.0,107.0,107.17,國票北投,0.0,2.06,-2.06,,107.0
286,凱基屏東,2.0,1.0,1.0,108.0,107.0,永豐彰化,0.0,2.06,-2.06,,107.5
287,凱基幸福,4.0,3.0,1.0,107.38,107.17,華南淡水,33.01,35.07,-2.06,107.05,107.3
288,富邦內湖,7.0,6.0,1.0,107.5,107.33,群益高盛,4.0,6.05,-2.05,107.25,107.41
289,大昌桃園,17.0,16.0,1.0,107.12,107.81,凱基松山,2.0,4.04,-2.04,107.5,107.13
290,日盛三重,3.0,2.0,1.0,107.0,107.0,第一自由,2.03,4.05,-2.02,107.0,107.12
291,土銀高雄,3.0,2.0,1.0,107.17,107.25,元大林園,0.0,2.01,-2.01,,107.0
292,華南苑裡,1.0,0.0,1.0,107.0,,富邦岡山,2.1,4.11,-2.01,107.26,107.14
293,土銀士林,2.0,1.0,1.0,107.0,107.5,元大小港,0.14,2.15,-2.01,106.82,107.23
294,永興台中,2.0,1.0,1.0,107.0,107.0,凱基新店,8.0,10.0,-2.0,106.81,107.45
295,永豐南京,1.0,0.0,1.0,107.0,,元富埔里,0.0,2.0,-2.0,,107.0
296,元富彰化,3.0,2.0,1.0,107.0,108.5,群益民權,2.0,4.0,-2.0,107.0,107.0
297,土銀和平,1.0,0.0,1.0,107.0,,日盛信義,3.0,5.0,-2.0,107.67,107.2
298,口袋,1.0,0.0,1.0,107.5,,元大大雅,4.0,6.0,-2.0,107.25,107.33
299,合庫彰化,2.0,1.0,1.0,108.25,107.0,凱基羅東,9.0,11.0,-2.0,107.39,107.05
300,合庫鳳山,2.0,1.0,1.0,107.25,107.5,土銀南港,0.0,2.0,-2.0,,107.25
301,日盛員林,3.0,2.0,1.0,107.17,107.0,兆豐景美,2.0,4.0,-2.0,107.5,107.12
302,兆豐新竹,8.08,7.1,0.98,107.0,107.42,石橋,0.0,2.0,-2.0,,108.5
303,群益大甲,6.03,5.05,0.98,107.0,107.0,德信新營,1.0,3.0,-2.0,107.0,107.67
304,群益中壢,9.02,8.05,0.97,107.11,107.07,國票長城,5.0,7.0,-2.0,107.3,107.07
305,統一平鎮,4.0,3.03,0.97,107.5,107.34,群益潭子,2.0,4.0,-2.0,107.5,106.75
306,永豐板橋,3.0,2.05,0.95,107.0,107.26,華南高雄,1.0,3.0,-2.0,107.0,107.0
307,美好苗栗,1.0,0.05,0.95,107.5,107.0,合庫基隆,1.0,3.0,-2.0,107.5,107.0
308,康和仁愛,11.0,10.1,0.9,107.91,107.0,兆豐來福,10.1,12.1,-2.0,107.45,107.21
309,統一南京,3.0,2.11,0.89,107.17,107.5,華南苗栗,1.0,3.0,-2.0,107.0,107.17
310,凱基板橋,6.02,5.2,0.82,107.08,107.31,永豐屏東,1.0,3.0,-2.0,107.5,107.17
311,凱基林口,2.0,1.2,0.8,107.5,107.42,凱基大安,0.0,2.0,-2.0,,107.0
312,元大金華,2.0,1.2,0.8,107.5,106.58,群益台北,1.0,3.0,-2.0,107.0,106.83
313,華南板橋,34.0,33.2,0.8,107.88,107.47,兆豐永和,0.0,2.0,-2.0,,107.75
314,日盛新竹,3.2,2.4,0.8,107.75,107.04,日盛南京,0.0,2.0,-2.0,,107.0
315,致和,2.0,1.3,0.7,107.0,107.04,光和高雄,0.0,2.0,-2.0,,107.25
316,元大斗信,4.6,3.96,0.64,107.33,107.55,元大竹東,0.0,2.0,-2.0,,108.0
317,玉山,16.16,15.54,0.62,107.28,107.2,華南桃園,1.0,3.0,-2.0,107.5,107.5
318,日盛板橋,5.0,4.42,0.58,107.3,107.16,元大羅東,0.0,2.0,-2.0,,107.0
319,富邦竹北,3.0,2.43,0.57,107.0,107.83,日盛復興,0.0,2.0,-2.0,,107.0
320,凱基市政,4.01,3.5,0.51,107.13,107.57,群益南京,1.0,3.0,-2.0,107.0,107.17
321,凱基內埔,2.0,1.5,0.5,107.0,107.0,美好中和,0.0,2.0,-2.0,107.5,107.0
322,兆豐新營,5.5,5.0,0.5,107.23,107.1,統一竹南,0.01,2.0,-1.99,107.0,106.75
323,日盛園區,0.5,0.0,0.5,107.5,,元大北重,4.01,6.0,-1.99,107.5,107.42
324,台中銀,4.5,4.0,0.5,107.22,107.25,元大南崁,0.03,2.01,-1.98,107.0,107.0
325,元大德芳,7.06,6.6,0.46,107.43,107.16,永豐中和,252.02,254.0,-1.98,107.99,107.99
326,兆豐三民,1.0,0.6,0.4,107.0,107.33,凱基台東,2.03,4.0,-1.97,107.74,107.25
327,群益大安,0.4,0.0,0.4,107.0,,新光高雄,20.06,22.03,-1.97,107.32,107.1
328,元大大甲,3.0,2.6,0.4,107.17,107.5,凱基東港,2.05,4.0,-1.95,107.99,107.0
329,凱基新莊,2.0,1.67,0.33,107.5,107.6,凱基基隆,3.1,5.05,-1.95,107.0,107.5
330,陽信高雄,0.2,0.0,0.2,107.0,,元大北投,0.19,2.09,-1.9,107.5,107.24
331,兆豐復興,10.2,10.0,0.2,107.01,108.0,日盛鳳山,2.1,4.0,-1.9,107.74,107.25
332,第一豐原,0.2,0.0,0.2,107.0,,凱基大里,2.1,4.0,-1.9,107.0,107.38
333,元大南勢,1.1,1.0,0.1,107.95,106.5,元大草屯,6.27,8.1,-1.83,107.14,107.31
334,元大潮州,1.1,1.0,0.1,107.0,106.5,元大士林,8.21,10.01,-1.8,107.49,107.05
335,日盛北高,2.3,2.2,0.1,107.7,107.23,企銀民雄,1.36,3.13,-1.77,107.0,107.34
336,彰銀,2.08,2.0,0.08,107.02,107.0,元大永春,6.0,7.57,-1.57,107.5,107.3
337,群益大興,1.1,1.03,0.07,107.45,107.01,元大鳳中,2.49,4.02,-1.53,107.8,107.5
338,永豐天母,1.11,1.05,0.06,107.46,107.95,群益館前,5.53,7.0,-1.47,107.18,107.43
339,華南內壢,4.1,4.05,0.05,107.49,107.25,兆豐松德,0.0,1.45,-1.45,,106.66
340,日盛龍潭,1.05,1.0,0.05,107.0,107.0,凱基土城,1.56,3.0,-1.44,107.0,106.83
341,宏遠新化,0.03,0.0,0.03,107.01,,元大虎尾,0.7,2.1,-1.4,107.0,107.95
342,元大旗山,6.02,6.0,0.02,107.75,107.42,合庫台南,0.5,1.85,-1.35,107.0,107.34
343,群益丹鳳,2.02,2.0,0.02,107.0,107.5,兆豐小港,0.0,1.25,-1.25,,107.8
344,亞東高雄,2.01,2.0,0.01,107.5,107.0,永豐鳳山,1.06,2.3,-1.24,107.0,107.72
345,統一新台中,6.01,6.0,0.01,107.5,107.08,永豐中壢,1.0,2.2,-1.2,107.0,107.05
346,元大鑫永,0.01,0.0,0.01,107.0,,元大信義,2.0,3.13,-1.13,107.25,107.32
347,土銀玉里,3.0,3.0,0.0,107.0,107.33,第一台中,0.0,1.1,-1.1,,107.0
348,聯邦富強,1.0,1.0,0.0,107.0,107.5,第一彰化,1.0,2.1,-1.1,107.0,106.79
349,聯邦嘉義,1.0,1.0,0.0,107.5,108.5,富邦新營,0.0,1.1,-1.1,,107.5
350,元大南海,3.0,3.0,0.0,107.33,107.33,土銀花蓮,0.0,1.1,-1.1,,107.5
351,元大屏東,8.0,8.0,0.0,107.31,107.0,大昌新竹,0.0,1.1,-1.1,,107.5
352,元大竹南,2.0,2.0,0.0,108.0,107.25,元富安南,9.0,10.1,-1.1,107.33,107.0
353,元富烏日,1.0,1.0,0.0,108.0,107.0,台新松江,2.06,3.14,-1.07,107.97,107.18
354,兆豐南京,3.0,3.0,0.0,107.17,108.0,元大興安,5.25,6.32,-1.07,107.18,107.08
355,兆豐新莊,2.0,2.0,0.0,107.5,107.0,永豐南投,1.0,2.06,-1.06,107.5,107.0
356,兆豐麻豆,1.0,1.0,0.0,107.0,107.0,臺銀民權,7.11,8.15,-1.04,107.0,107.19
357,光和溪湖,2.0,2.0,0.0,107.25,107.5,元大敦化,2.01,3.05,-1.04,108.0,107.17
358,凱基北門,6.0,6.0,0.0,107.0,107.17,華南朴子,2.02,3.04,-1.02,107.99,107.16
359,凱基台中,2.0,2.0,0.0,107.25,107.0,元大大統,7.0,8.01,-1.01,107.14,107.06
360,台企建成,1.0,1.0,0.0,107.0,107.0,富邦台東,1.0,2.0,-1.0,107.5,107.25
361,合庫嘉義,1.0,1.0,0.0,108.0,107.5,華南古亭,0.0,1.0,-1.0,,107.0
362,康和屏東,31.0,31.0,0.0,108.0,107.48,統一新營,0.0,1.0,-1.0,,106.5
363,康和石牌,2.0,2.0,0.0,107.75,107.0,群益新竹,0.0,1.0,-1.0,,107.0
364,康和高雄,5.0,5.0,0.0,107.2,107.4,聯邦高雄,0.0,1.0,-1.0,,107.0
365,日茂,4.0,4.0,0.0,107.0,106.88,群益中山,3.0,4.0,-1.0,107.5,107.38
366,日茂埔里,1.0,1.0,0.0,107.0,107.0,華南民權,0.0,1.0,-1.0,,107.5
367,永全八德,1.0,1.0,0.0,107.0,107.5,致和崇德,1.0,2.0,-1.0,108.0,107.5
368,統一桃園,1.0,1.0,0.0,107.0,107.0,聯邦雙和,0.0,1.0,-1.0,,107.0
369,美好基隆,2.0,2.0,0.0,107.0,107.0,高橋龍潭,7.0,8.0,-1.0,107.0,107.25
370,群益三重,1.0,1.0,0.0,108.0,107.0,康和澎湖,0.0,1.0,-1.0,,107.5
371,高橋內壢,2.0,2.0,0.0,108.0,107.0,康和板橋,1.0,2.0,-1.0,107.5,107.5
372,,,,,,,兆豐虎尾,0.0,1.0,-1.0,,107.0
373,,,,,,,德信,0.0,1.0,-1.0,,107.5
374,,,,,,,新百王,8.0,9.0,-1.0,107.25,107.22
375,,,,,,,宏遠桃園,1.0,2.0,-1.0,107.5,107.75
376,,,,,,,土銀台中,3.0,4.0,-1.0,107.17,107.0
377,,,,,,,日盛文化,5.0,6.0,-1.0,107.1,107.0
378,,,,,,,永全南崁,2.0,3.0,-1.0,107.0,107.0
379,,,,,,,企銀埔墘,0.0,1.0,-1.0,,107.0
380,,,,,,,康和南崁,1.0,2.0,-1.0,107.5,107.5
381,,,,,,,國票內壢,5.0,6.0,-1.0,107.2,107.17
382,,,,,,,永豐桃盛,1.0,2.0,-1.0,107.0,107.0
383,,,,,,,兆豐三重,130.0,131.0,-1.0,107.0,107.5
384,,,,,,,企銀九如,0.0,1.0,-1.0,,107.5
385,,,,,,,中農,0.0,1.0,-1.0,,108.0
386,,,,,,,盈溢籬子內,0.0,1.0,-1.0,,107.5
387,,,,,,,台新屏東,0.0,1.0,-1.0,,107.0
388,,,,,,,凱基大直,2.0,3.0,-1.0,107.0,108.0
389,,,,,,,凱基內湖,0.0,1.0,-1.0,,107.0
390,,,,,,,兆豐內湖,1.0,2.0,-1.0,107.0,107.5
391,,,,,,,國票九鼎,10.0,11.0,-1.0,107.0,107.09
392,,,,,,,華南三重,0.0,1.0,-1.0,107.5,107.5
393,,,,,,,群益崇德,0.01,1.0,-0.99,107.0,107.5
394,,,,,,,元富林園,0.01,1.0,-0.99,107.5,107.5
395,,,,,,,元大學甲,3.03,4.01,-0.98,107.0,107.37
396,,,,,,,元富大裕,0.02,1.0,-0.98,107.0,107.0
397,,,,,,,國泰館前,14.52,15.5,-0.98,107.29,107.18
398,,,,,,,元富虎尾,1.05,2.0,-0.95,107.5,107.5
399,,,,,,,元富新莊,0.05,1.0,-0.95,107.5,108.0
400,,,,,,,元富屏東,1.06,2.0,-0.94,107.5,107.25
401,,,,,,,美好高雄,0.1,1.0,-0.9,107.0,107.0
402,,,,,,,凱基永華,0.1,1.0,-0.9,107.5,107.0
403,,,,,,,元大竹科,5.15,6.05,-0.9,107.39,107.41
404,,,,,,,永豐埔里,4.1,5.0,-0.9,107.74,107.3
405,,,,,,,元大前金,4.13,5.0,-0.87,107.49,107.6
406,,,,,,,統一松江,1.19,2.0,-0.81,107.0,107.0
407,,,,,,,日盛中和,2.2,3.0,-0.8,107.02,107.5
408,,,,,,,第一中山,4.2,5.0,-0.8,107.36,106.5
409,,,,,,,華南東昇,7.2,8.0,-0.8,107.15,107.44
410,,,,,,,元富中港,2.0,2.75,-0.75,107.25,107.03
411,,,,,,,凱基頭份,1.29,2.0,-0.71,107.78,107.5
412,,,,,,,國票嘉義,0.3,1.0,-0.7,107.0,107.0
413,,,,,,,企銀台中,0.3,1.0,-0.7,107.0,107.0
414,,,,,,,華南潮州,1.3,2.0,-0.7,107.04,107.25
415,,,,,,,華南鶯歌,1.38,2.0,-0.62,107.0,107.0
416,,,,,,,元大北成,8.01,8.61,-0.6,107.62,107.06
417,,,,,,,第一金證,2.0,2.55,-0.55,108.0,107.5
418,,,,,,,聯邦忠孝,0.0,0.5,-0.5,,107.0
419,,,,,,,凱基文心,0.0,0.5,-0.5,,107.5
420,,,,,,,元大淡水,4.2,4.7,-0.5,107.36,106.95
421,,,,,,,元大和平,2.0,2.5,-0.5,107.25,107.4
422,,,,,,,元大鶯歌,0.5,1.0,-0.5,107.0,108.0
423,,,,,,,第一高雄,9.5,10.0,-0.5,107.38,107.15
424,,,,,,,元大雙和,10.1,10.54,-0.44,107.1,107.85
425,,,,,,,玉山數位,2.88,3.24,-0.35,107.39,107.31
426,,,,,,,兆豐埔墘,1.0,1.3,-0.3,107.0,107.5
427,,,,,,,永豐忠孝,3.2,3.5,-0.3,107.31,107.57
428,,,,,,,元大中和,3.0,3.25,-0.25,107.17,107.31
429,,,,,,,國泰台南,7.4,7.64,-0.24,107.27,107.43
430,,,,,,,元大新中,3.02,3.23,-0.21,107.33,107.17
431,,,,,,,元富草屯,0.09,0.3,-0.21,107.5,107.0
432,,,,,,,日盛大墩,5.3,5.5,-0.2,107.5,107.05
433,,,,,,,玉山景美,9.13,9.3,-0.17,107.33,107.48
434,,,,,,,高橋中壢,1.0,1.11,-0.11,107.0,107.0
435,,,,,,,華南竹北,0.0,0.1,-0.1,,107.0
436,,,,,,,群益板橋,0.0,0.1,-0.1,,107.5
437,,,,,,,永豐中正,8.2,8.3,-0.1,107.06,107.43
438,,,,,,,玉山嘉義,6.0,6.05,-0.05,107.42,107.41
439,,,,,,,中信託高,99.12,99.15,-0.03,107.02,107.49
440,,,,,,,土銀建國,3.0,3.03,-0.03,106.67,107.0
441,,,,,,,宏遠高雄,3.0,3.01,-0.01,107.17,106.84
442,,,,,,,統一仁愛,0.0,0.01,-0.01,,107.0
443,,,,,,,華南公誠,15.0,15.01,-0.01,107.43,107.4
